X,Y,Color
-132.0,120.0,"(0.0, 0.6, 0.0, 1.0)"
-132.0,124.0,"(1.0, 1.0, 0.4, 1.0)"
-132.0,128.0,"(1.0, 0.0, 0.0, 1.0)"
-132.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-132.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-132.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-132.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-132.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-132.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-132.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-132.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-132.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
-132.0,168.0,"(0.0, 0.2, 0.4, 1.0)"
-132.0,172.0,"(1.0, 0.0, 0.0, 1.0)"
-128.0,32.0,"(0.6, 0.8, 1.0, 1.0)"
-128.0,36.0,"(0.6, 0.8, 1.0, 1.0)"
-128.0,76.0,"(0.0, 0.2, 0.4, 1.0)"
-128.0,84.0,"(0.0, 0.4, 0.8, 1.0)"
-128.0,88.0,"(0.6, 0.8, 1.0, 1.0)"
-128.0,92.0,"(0.0, 0.4, 0.8, 1.0)"
-128.0,96.0,"(0.0, 0.4, 0.8, 1.0)"
-128.0,100.0,"(0.0, 0.6, 0.0, 1.0)"
-128.0,104.0,"(1.0, 1.0, 0.4, 1.0)"
-128.0,108.0,"(0.0, 0.6, 0.0, 1.0)"
-128.0,112.0,"(0.0, 0.2, 0.4, 1.0)"
-128.0,116.0,"(0.0, 0.4, 0.8, 1.0)"
-128.0,120.0,"(1.0, 0.0, 0.0, 1.0)"
-128.0,124.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,128.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,132.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,136.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,140.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,144.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,148.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,152.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,156.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,160.0,"(0.8, 0.0, 0.0, 1.0)"
-128.0,164.0,"(0.8, 0.0, 0.0, 1.0)"
